iter	Passed	Remaining
0	66	66139
1	70	35331
2	75	24993
3	80	20085
4	85	16954
5	90	14986
6	95	13486
7	99	12382
8	104	11511
9	108	10772
10	113	10193
11	117	9689
12	121	9261
13	126	8894
14	130	8572
15	134	8297
16	139	8065
17	144	7880
18	148	7691
19	153	7504
20	157	7336
21	161	7180
22	166	7055
23	170	6923
24	174	6818
25	179	6711
26	183	6613
27	187	6511
28	191	6428
29	195	6335
30	200	6270
31	204	6192
32	209	6145
33	214	6100
34	218	6036
35	223	5981
36	227	5918
37	231	5863
38	235	5808
39	239	5759
40	244	5728
41	248	5673
42	252	5629
43	257	5588
44	262	5570
45	266	5522
46	270	5481
47	274	5439
48	278	5407
49	282	5375
50	286	5336
51	295	5382
52	300	5367
53	304	5342
54	313	5382
55	318	5364
56	322	5341
57	326	5310
58	330	5276
59	335	5253
60	339	5222
61	343	5203
62	347	5174
63	351	5144
64	355	5116
65	359	5094
66	364	5077
67	369	5060
68	373	5035
69	377	5010
70	381	4987
71	385	4963
72	389	4950
73	395	4945
74	399	4922
75	403	4904
76	407	4882
77	411	4862
78	415	4843
79	419	4823
80	424	4816
81	429	4805
82	433	4792
83	438	4780
84	443	4769
85	447	4755
86	451	4736
87	455	4715
88	460	4710
89	464	4701
90	469	4685
91	473	4668
92	477	4654
93	481	4638
94	485	4627
95	490	4617
96	494	4604
97	498	4591
98	503	4580
99	508	4573
100	512	4560
101	516	4547
102	520	4534
103	524	4519
104	528	4508
105	533	4495
106	537	4482
107	540	4468
108	545	4460
109	549	4448
110	553	4436
111	561	4451
112	566	4450
113	571	4441
114	575	4428
115	580	4420
116	585	4415
117	589	4403
118	593	4395
119	598	4390
120	602	4379
121	607	4369
122	611	4361
123	615	4350
124	620	4342
125	624	4333
126	628	4322
127	633	4314
128	638	4308
129	642	4299
130	646	4289
131	650	4280
132	655	4271
133	659	4260
134	662	4247
135	666	4237
136	671	4227
137	675	4217
138	679	4207
139	683	4197
140	687	4187
141	691	4178
142	695	4169
143	700	4164
144	704	4154
145	708	4145
146	713	4142
147	718	4136
148	722	4126
149	726	4118
150	731	4111
151	735	4102
152	739	4095
153	743	4087
154	748	4081
155	752	4071
156	756	4062
157	760	4053
158	765	4050
159	769	4041
160	774	4033
161	778	4027
162	782	4019
163	786	4010
164	791	4004
165	795	3997
166	800	3992
167	805	3990
168	814	4003
169	818	3995
170	822	3987
171	827	3982
172	831	3974
173	835	3965
174	839	3956
175	844	3952
176	849	3948
177	854	3945
178	859	3940
179	863	3935
180	867	3925
181	871	3918
182	875	3910
183	880	3903
184	884	3897
185	889	3893
186	894	3887
187	898	3880
188	903	3875
189	907	3867
190	912	3863
191	917	3862
192	921	3853
193	926	3849
194	930	3841
195	935	3837
196	939	3830
197	944	3824
198	948	3816
199	952	3809
200	956	3803
